postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS362SR,BS36,2SR,BS36 2SR,South Gloucestershire Council,SolarPanels,,16,1,5,6.64
BS320BB,BS32,0BB,BS32 0BB,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS354PE,BS35,4PE,BS35 4PE,South Gloucestershire Council,SolarPanels,1,6,1,5,2.49
BS154FL,BS15,4FL,BS15 4FL,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
GL128LU,GL12,8LU,GL12 8LU,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
BS328SW,BS32,8SW,BS32 8SW,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS329DU,BS32,9DU,BS32 9DU,South Gloucestershire Council,SolarPanels,,6,0,,2.49
BS324EQ,BS32,4EQ,BS32 4EQ,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS159SL,BS15,9SL,BS15 9SL,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS362RL,BS36,2RL,BS36 2RL,South Gloucestershire Council,SolarPanels,,8,0,,3.32
BS308AE,BS30,8AE,BS30 8AE,South Gloucestershire Council,SolarPanels,,8,1,7,3.32
BS407SL,BS40,7SL,BS40 7SL,North Somerset Council,SolarPanels,,8,1,5,3.32
GL128LP,GL12,8LP,GL12 8LP,South Gloucestershire Council,SolarPanels,1,10,1,5,4.15
GL128BZ,GL12,8BZ,GL12 8BZ,South Gloucestershire Council,SolarPanels,,9,1,7,3.74
BA16HP,BA1,6HP,BA1 6HP,Bath and North East Somerset Council,SolarPanels,,4,0,,1.66
BS308DH,BS30,8DH,BS30 8DH,South Gloucestershire Council,SolarPanels,,9,1,5,3.74
BS376HX,BS37,6HX,BS37 6HX,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS362NB,BS36,2NB,BS36 2NB,South Gloucestershire Council,SolarPanels,,16,1,5,6.64
BS419BP,BS41,9BP,BS41 9BP,North Somerset Council,SolarPanels,,6,1,7,2.49
BS494HY,BS49,4HY,BS49 4HY,North Somerset Council,SolarPanels,,10,1,7,4.15
BS348GF,BS34,8GF,BS34 8GF,South Gloucestershire Council,SolarPanels,,14,1,12,5.81
BS138RZ,BS13,8RZ,BS13 8RZ,Bristol City Council,SolarPanels,,8,1,7,3.32
BS348GE,BS34,8GE,BS34 8GE,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS377BJ,BS37,7BJ,BS37 7BJ,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS93TD,BS9,3TD,BS9 3TD,Bristol City Council,SolarPanels,,9,1,7,3.74
BS169TE,BS16,9TE,BS16 9TE,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS374NP,BS37,4NP,BS37 4NP,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS375US,BS37,5US,BS37 5US,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS374HL,BS37,4HL,BS37 4HL,South Gloucestershire Council,SolarPanels,,8,1,7,3.32
BS169RW,BS16,9RW,BS16 9RW,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS206EE,BS20,6EE,BS20 6EE,North Somerset Council,SolarPanels,,10,1,7,4.15
BS70AD,BS7,0AD,BS7 0AD,Bristol City Council,SolarPanels,,11,1,12,4.57
BS482UU,BS48,2UU,BS48 2UU,North Somerset Council,SolarPanels,,10,1,5,4.15
BS362BN,BS36,2BN,BS36 2BN,South Gloucestershire Council,RetroFitBattery,,0,1,12,0.00
BS353UD,BS35,3UD,BS35 3UD,South Gloucestershire Council,SolarPanels,,13,1,12,5.40
BS217HL,BS21,7HL,BS21 7HL,North Somerset Council,SolarPanels,,5,1,7,2.08
BS483QQ,BS48,3QQ,BS48 3QQ,North Somerset Council,SolarPanels,,14,1,12,5.81
BS361DJ,BS36,1DJ,BS36 1DJ,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS311RL,BS31,1RL,BS31 1RL,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BS216TZ,BS21,6TZ,BS21 6TZ,North Somerset Council,SolarPanels,,15,1,12,6.23
BS66YR,BS6,6YR,BS6 6YR,Bristol City Council,SolarPanels,,12,1,7,4.98
BS42XL,BS4,2XL,BS4 2XL,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BA19AX,BA1,9AX,BA1 9AX,Bath and North East Somerset Council,SolarPanels,,20,1,12,8.30
BS167HG,BS16,7HG,BS16 7HG,South Gloucestershire Council,SolarPanels,,7,1,5,2.91
BS66QU,BS6,6QU,BS6 6QU,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS70LA,BS7,0LA,BS7 0LA,Bristol City Council,SolarPanels,,12,1,7,4.98
BS354QB,BS35,4QB,BS35 4QB,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS67PZ,BS6,7PZ,BS6 7PZ,Bristol City Council,SolarPanels,,12,1,7,4.98
BS207BP,BS20,7BP,BS20 7BP,North Somerset Council,SolarPanels,,8,1,5,3.32
BS328EH,BS32,8EH,BS32 8EH,South Gloucestershire Council,SolarPanels,,8,1,7,3.32
BS351JQ,BS35,1JQ,BS35 1JQ,South Gloucestershire Council,SolarPanels,,18,1,7,7.47
BS65AJ,BS6,5AJ,BS6 5AJ,Bristol City Council,SolarPanels,,11,1,7,4.57
BS305TP,BS30,5TP,BS30 5TP,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS328DP,BS32,8DP,BS32 8DP,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
